expressionId,practiceExampleNumber,practiceQuestion,practiceQuestionTranslation,sentenceText,sentenceTranslation,acceptedAnswerCount,acceptedAnswers,reviewReason,reviewNotes
583,1,Is the hike doable for beginners?,그 등산 초보도 갈 만해?,"Yes, but keep in mind it gets cold at the top.","응, 근데 정상은 추운 거 감안해.",2,"응 근데 정상은 추운 거 감안해
응 근데 감안해 정상은 추운 거",긍정과 대조 응답 뒤 정상의 추위를 고려하라는 명제를 유지한다.,
583,2,"The food here seems a bit pricey, no?",여기 음식 좀 비싼 거 아냐?,Keep in mind it's right by the beach.,바로 해변 앞인 거 감안해야지.,2,"바로 해변 앞인 거 감안해야지
감안해야지 바로 해변 앞인 거",바로 해변 앞이라는 사실 전체를 고려하는 대상으로 유지한다.,
584,1,I'm jumping in the shower. Anything on the stove?,나 샤워하러 간다. 가스레인지에 뭐 올려놨어?,"Yeah, keep an eye on the ramen so it doesn't boil over.","응, 라면 안 넘치게 좀 봐줘.",3,"응 라면 안 넘치게 좀 봐줘
응 라면 안 넘치게 봐줘 좀
응 좀 봐줘 라면 안 넘치게",긍정 응답 뒤 라면이 넘치지 않게 봐 달라는 예방 목적을 유지한다.,
584,2,Should we book that flight now or wait?,"그 항공권 지금 예약할까, 기다릴까?",Let's keep an eye on the price for a few days.,며칠 가격 좀 지켜보자.,9,"며칠 가격 좀 지켜보자
가격 며칠 좀 지켜보자
며칠 좀 가격 지켜보자
가격 좀 며칠 지켜보자
좀 며칠 가격 지켜보자
좀 가격 며칠 지켜보자
가격 좀 지켜보자 며칠
며칠 좀 지켜보자 가격
며칠 가격 지켜보자 좀",며칠간 가격을 지켜보자는 기간·대상·부탁을 유지한다.,
585,1,Want to take the subway at rush hour?,러시아워에 지하철 탈래?,No way. I can't stand crowded trains.,절대 싫어. 꽉 찬 지하철 못 견뎌.,3,"절대 싫어 꽉 찬 지하철 못 견뎌
싫어 절대 꽉 찬 지하철 못 견뎌
절대 싫어 못 견뎌 꽉 찬 지하철",강한 거절 뒤 만원 지하철을 못 견딘다는 부정과 대상을 유지한다.,
585,2,How do you like your new roommate?,새 룸메 어때?,"He's nice, but I can't stand his alarm going off five times.","착한데, 알람 다섯 번 울리는 건 못 참겠어.",2,"착한데 알람 다섯 번 울리는 건 못 참겠어
착한데 못 참겠어 알람 다섯 번 울리는 건",착하다는 인정 뒤 알람이 다섯 번 울리는 것을 못 참는다는 내포 명제를 유지한다.,
586,1,Is your roommate still snoring every night?,네 룸메 아직도 매일 코 골아?,"Yes, and it's driving me crazy. I need earplugs.","응, 미치겠어. 귀마개 사야 돼.",2,"응 미치겠어 귀마개 사야 돼
응 미치겠어 사야 돼 귀마개",긍정과 고통 표현 뒤 귀마개 구입 필요를 유지한다.,
586,2,Why do you keep checking your phone?,왜 자꾸 폰 확인해?,Waiting for my grade. The suspense is driving me crazy.,성적 기다리는 중이야. 궁금해서 돌아버리겠어.,2,"성적 기다리는 중이야 궁금해서 돌아버리겠어
성적 기다리는 중이야 돌아버리겠어 궁금해서",성적 대기 상태 뒤 궁금해서 괴롭다는 원인을 유지한다.,
587,1,Why don't you study in your room anymore?,왜 요즘 방에서 공부 안 해?,My roommate's keyboard clacking gets on my nerves.,룸메 키보드 소리가 신경을 긁어서.,4,"룸메 키보드 소리가 신경을 긁어서
신경을 룸메 키보드 소리가 긁어서
신경을 긁어서 룸메 키보드 소리가
룸메 키보드 소리가 긁어서 신경을",룸메 키보드 소리 때문에 신경이 거슬린다는 주체와 관용 목적어를 유지한다.,
587,2,Do you like the new group chat?,새 단톡 어때?,"Honestly, the endless notifications get on my nerves.",솔직히 끝없는 알림이 거슬려.,4,"솔직히 끝없는 알림이 거슬려
끝없는 알림이 솔직히 거슬려
끝없는 알림이 거슬려 솔직히
솔직히 거슬려 끝없는 알림이",끊임없는 알림이 거슬린다는 주체와 솔직한 태도를 유지한다.,
588,1,Why did you glare at that guy on the bus?,버스에서 그 남자 왜 째려봤어?,Loud phone calls in public are my pet peeve.,공공장소에서 큰 소리로 통화하는 게 내 질색 포인트거든.,2,"공공장소에서 큰 소리로 통화하는 게 내 질색 포인트거든
내 질색 포인트거든 공공장소에서 큰 소리로 통화하는 게",공공장소에서 크게 통화하는 행동이라는 명제 전체를 질색 대상으로 유지한다.,
588,2,Does it bother you when I leave dishes overnight?,내가 설거지 밤새 두면 거슬려?,"Honestly, yes. That's my number one pet peeve.",솔직히 응. 그게 내 1순위 질색 포인트야.,2,"솔직히 응 그게 내 1순위 질색 포인트야
솔직히 응 내 1순위 질색 포인트야 그게",솔직한 긍정 응답 뒤 그 행동이 가장 싫다는 평가를 유지한다.,
589,1,How was the comedy show last night?,어젯밤 코미디 쇼 어땠어?,Amazing. The host cracked everyone up.,최고였어. 진행자가 다 빵 터뜨렸어.,3,"최고였어 진행자가 다 빵 터뜨렸어
최고였어 다 빵 터뜨렸어 진행자가
최고였어 진행자가 빵 터뜨렸어 다",최고라는 평가 뒤 진행자가 모두를 웃겼다는 다의 대상 범위를 유지한다.,
589,2,What's so funny about your group chat?,단톡에 뭐가 그렇게 웃겨?,My roommate's typos crack me up.,룸메 오타가 날 빵 터지게 해.,4,"룸메 오타가 날 빵 터지게 해
날 룸메 오타가 빵 터지게 해
날 빵 터지게 해 룸메 오타가
룸메 오타가 빵 터지게 해 날",룸메의 오타가 화자를 웃긴다는 원인과 대상을 유지한다.,
590,1,How do you deal with finals stress?,기말 스트레스 어떻게 풀어?,I go running at night to blow off steam.,밤에 달리기하면서 스트레스 풀어.,9,"밤에 달리기하면서 스트레스 풀어
달리기하면서 밤에 스트레스 풀어
밤에 스트레스 달리기하면서 풀어
달리기하면서 스트레스 밤에 풀어
스트레스 밤에 달리기하면서 풀어
스트레스 달리기하면서 밤에 풀어
달리기하면서 스트레스 풀어 밤에
밤에 스트레스 풀어 달리기하면서
밤에 달리기하면서 풀어 스트레스",밤에 달리면서 스트레스를 푼다는 시간·방식·대상을 유지한다.,
590,2,Why is he punching the pillow?,걔 왜 베개를 때리고 있어?,Rough day. He's just blowing off steam.,힘든 하루였대. 그냥 화 좀 발산하는 거야.,6,"힘든 하루였대 그냥 화 좀 발산하는 거야
힘든 하루였대 화 그냥 좀 발산하는 거야
힘든 하루였대 그냥 좀 화 발산하는 거야
힘든 하루였대 화 좀 그냥 발산하는 거야
힘든 하루였대 그냥 좀 발산하는 거야 화
힘든 하루였대 그냥 화 발산하는 거야 좀",힘든 하루라는 배경 뒤 화를 발산하고 있다는 대상과 정도를 유지한다.,
591,1,How do you feel before the audition?,오디션 앞두고 기분 어때?,Total butterflies. My hands are shaking.,완전 두근두근. 손이 다 떨려.,2,"완전 두근두근 손이 다 떨려
손이 다 떨려 완전 두근두근",두근거리는 감정과 손까지 떨리는 상태라는 반응들을 유지한다.,
591,2,Was your first date awkward?,첫 데이트 어색했어?,"No, but I had butterflies the whole time.","아니, 근데 내내 설레서 두근거렸어.",3,"아니 근데 내내 설레서 두근거렸어
아니 근데 설레서 내내 두근거렸어
아니 근데 내내 두근거렸어 설레서",부정과 대조 응답 뒤 내내 설레서 두근거렸다는 이유를 유지한다.,
592,1,What was the scariest part of studying abroad?,유학 생활에서 제일 떨렸던 게 뭐야?,The visa interview was the most nerve-wracking part.,비자 면접이 제일 조마조마했어.,4,"비자 면접이 제일 조마조마했어
제일 비자 면접이 조마조마했어
제일 조마조마했어 비자 면접이
비자 면접이 조마조마했어 제일",비자 면접이 가장 긴장됐다는 대상과 최상급을 유지한다.,
592,2,Did you watch the penalty shootout?,승부차기 봤어?,"Yeah, it was nerve-wracking to the last kick.","응, 마지막 킥까지 피가 말렸어.",2,"응 마지막 킥까지 피가 말렸어
응 피가 말렸어 마지막 킥까지",긍정 응답 뒤 마지막 킥까지 긴장한 지속 범위를 유지한다.,
593,1,How do you feel about your roommate moving out?,룸메 나가는 거 어때?,"Mixed feelings. More space, but it'll be quiet.",복잡해. 넓어지긴 하는데 허전할 거야.,2,"복잡해 넓어지긴 하는데 허전할 거야
복잡해 허전할 거야 넓어지긴 하는데",복잡한 감정의 답 뒤 넓어지지만 허전할 것이라는 대조를 유지한다.,
593,2,Aren't you happy the semester is over?,학기 끝나서 좋지 않아?,I have mixed feelings. I'll miss that class.,싱숭생숭해. 그 수업 그리울 거야.,3,"싱숭생숭해 그 수업 그리울 거야
싱숭생숭해 그리울 거야 그 수업
그 수업 그리울 거야 싱숭생숭해",싱숭생숭한 감정과 그 수업을 그리워할 것이라는 이유를 유지한다.,
594,1,Where should we go for spring break?,봄방학에 어디 갈까?,I'm torn between the beach and the mountains.,바다랑 산 사이에서 고민돼.,2,"바다랑 산 사이에서 고민돼
고민돼 바다랑 산 사이에서",바다와 산 사이에서 고민한다는 선택 대상 묶음을 유지한다.,
594,2,Which offer did she take?,걔 어느 제안 받았대?,She's still torn. Both companies sound great.,아직 고민 중이래. 두 회사 다 괜찮대.,5,"아직 고민 중이래 두 회사 다 괜찮대
고민 중이래 아직 두 회사 다 괜찮대
아직 고민 중이래 다 두 회사 괜찮대
아직 고민 중이래 다 괜찮대 두 회사
아직 고민 중이래 두 회사 괜찮대 다",아직 고민 중이라는 상태 뒤 두 회사 모두 괜찮다는 이유를 유지한다.,
595,1,Who keeps texting you with all those hearts?,하트 잔뜩 붙여서 문자하는 사람 누구야?,My roommate. She has a crush on someone and needs advice.,내 룸메. 누구한테 반해서 조언이 필요하대.,2,"내 룸메 누구한테 반해서 조언이 필요하대
내 룸메 누구한테 반해서 필요하대 조언이",룸메라는 답 뒤 누군가에게 반해서 조언이 필요하다는 인과를 유지한다.,
595,2,Did you ever like anyone in high school?,고등학교 때 좋아한 사람 있었어?,I had a huge crush on my deskmate for two years.,짝꿍을 2년 동안 엄청 짝사랑했지.,6,"짝꿍을 2년 동안 엄청 짝사랑했지
2년 동안 짝꿍을 엄청 짝사랑했지
2년 동안 엄청 짝꿍을 짝사랑했지
2년 동안 엄청 짝사랑했지 짝꿍을
짝꿍을 엄청 짝사랑했지 2년 동안
짝꿍을 2년 동안 짝사랑했지 엄청",짝꿍을 이 년 동안 많이 좋아했다는 대상·기간·정도를 유지한다.,
596,1,Are you ever going to talk to him?,걔한테 말이라도 걸어볼 거야?,I'm working up the courage to ask him out.,데이트 신청할 용기 모으는 중이야.,2,"데이트 신청할 용기 모으는 중이야
모으는 중이야 데이트 신청할 용기",데이트를 신청할 용기라는 명사구와 모으는 진행을 유지한다.,
596,2,Why is your roommate pacing around the room?,네 룸메 왜 방을 서성거려?,He's rehearsing how to ask someone out.,데이트 신청 멘트 연습 중이야.,2,"데이트 신청 멘트 연습 중이야
연습 중이야 데이트 신청 멘트",데이트 신청 멘트라는 연습 대상을 통째로 후치한다.,
597,1,Do you still talk to your exchange program friends?,교환학생 때 친구들이랑 아직 연락해?,"Yeah, we've kept in touch for three years now.","응, 3년째 연락하고 지내.",2,"응 3년째 연락하고 지내
응 연락하고 지내 3년째",긍정 응답 뒤 삼 년째 연락하고 지낸다는 지속 기간을 유지한다.,
597,2,What did your old roommate say when you moved out?,이사 나올 때 예전 룸메가 뭐래?,She made me promise to keep in touch.,계속 연락하기로 약속하게 하더라.,2,"계속 연락하기로 약속하게 하더라
약속하게 하더라 계속 연락하기로",계속 연락하겠다는 약속 내용을 묶어 사역 뒤에 둔다.,
598,1,Whatever happened to your old roommate?,예전 룸메는 어떻게 지낸대?,No idea. We lost touch years ago.,몰라. 연락 끊긴 지 몇 년 됐어.,2,"몰라 연락 끊긴 지 몇 년 됐어
몰라 연락 끊긴 지 됐어 몇 년",모른다는 응답 뒤 연락이 끊긴 지 몇 년 됐다는 기간을 유지한다.,
598,2,Are you two still close?,너희 둘 아직 친해?,Kind of. I don't want to lose touch with her.,그럭저럭. 걔랑 연락 끊기기는 싫거든.,2,"그럭저럭 걔랑 연락 끊기기는 싫거든
그럭저럭 연락 끊기기는 싫거든 걔랑",그럭저럭이라는 응답 뒤 그와 연락이 끊기기 싫다는 바람을 유지한다.,
599,1,Why did you two break up?,너희 둘은 왜 헤어진 거야?,Nothing dramatic. We just drifted apart.,"별일 있었던 건 아니고, 그냥 서서히 멀어졌어.",4,"별일 있었던 건 아니고 그냥 서서히 멀어졌어
별일 있었던 건 아니고 서서히 그냥 멀어졌어
별일 있었던 건 아니고 서서히 멀어졌어 그냥
별일 있었던 건 아니고 그냥 멀어졌어 서서히",큰일이 없었다는 설명 뒤 서서히 멀어진 상태와 방식을 유지한다.,
599,2,Do you still hang out with your freshman-year crew?,1학년 때 무리랑 아직 어울려?,Not really. We drifted apart after we moved out of the dorm.,아니 별로. 기숙사 나오고 나서 멀어졌어.,2,"아니 별로 기숙사 나오고 나서 멀어졌어
아니 별로 멀어졌어 기숙사 나오고 나서",별로라는 응답 뒤 기숙사에서 나온 이후 멀어졌다는 시점을 유지한다.,
600,1,Did you like the people in your project team?,조별 과제 팀원들은 괜찮았어?,"Yeah, I really clicked with one of them.","응, 한 명이랑 진짜 죽이 잘 맞았어.",4,"응 한 명이랑 진짜 죽이 잘 맞았어
응 진짜 한 명이랑 죽이 잘 맞았어
응 진짜 죽이 잘 맞았어 한 명이랑
응 한 명이랑 죽이 잘 맞았어 진짜",긍정 뒤 한 사람과 특히 잘 맞았다는 상대와 관용 표현을 유지한다.,
600,2,Why didn't you go on a second date?,두 번째 데이트는 왜 안 한 거야?,"She was nice, but we just didn't click.","좋은 사람이긴 한데, 그냥 안 통하더라.",3,"좋은 사람이긴 한데 그냥 안 통하더라
좋은 사람이긴 한데 안 통하더라 그냥
그냥 안 통하더라 좋은 사람이긴 한데",좋은 사람이라는 인정과 통하지 않았다는 대조를 유지한다.,
601,1,How was the networking event?,네트워킹 행사는 어땠어?,Exhausting. Two hours of nonstop small talk.,진 빠지더라. 두 시간 내내 스몰토크만 했어.,4,"진 빠지더라 두 시간 내내 스몰토크만 했어
진 빠지더라 스몰토크만 두 시간 내내 했어
진 빠지더라 스몰토크만 했어 두 시간 내내
진 빠지더라 두 시간 내내 했어 스몰토크만",피곤했다는 평가 뒤 두 시간 동안 대화만 했다는 기간과 한정을 유지한다.,
601,2,Why do you dread haircuts?,미용실 가는 거 왜 그렇게 싫어해?,The small talk with the hairdresser kills me.,미용사랑 하는 스몰토크가 사람 잡거든.,4,"미용사랑 하는 스몰토크가 사람 잡거든
사람 미용사랑 하는 스몰토크가 잡거든
사람 잡거든 미용사랑 하는 스몰토크가
미용사랑 하는 스몰토크가 잡거든 사람",미용사와 하는 대화라는 주체가 사람을 힘들게 한다는 뜻을 유지한다.,
602,1,"What does ""code red burrito"" even mean?","""코드 레드 부리토""가 대체 무슨 뜻이야?",It's an inside joke. You had to be there.,우리끼리 농담이야. 그 자리에 있었어야 아는데.,3,"우리끼리 농담이야 그 자리에 있었어야 아는데
농담이야 우리끼리 그 자리에 있었어야 아는데
우리끼리 농담이야 있었어야 아는데 그 자리에",우리끼리의 농담이라는 답 뒤 현장에 있어야 안다는 조건을 유지한다.,
602,2,Do you feel left out with his old friends?,걔 옛날 친구들 사이에서 소외감 느껴?,Sometimes. They have so many inside jokes.,가끔. 걔네끼리 아는 농담이 너무 많거든.,4,"가끔 걔네끼리 아는 농담이 너무 많거든
가끔 너무 걔네끼리 아는 농담이 많거든
가끔 너무 많거든 걔네끼리 아는 농담이
가끔 걔네끼리 아는 농담이 많거든 너무",가끔이라는 응답 뒤 그들만 아는 농담이 많다는 명사구를 유지한다.,
603,1,Are you coming to the laundry room with me?,나랑 세탁실 같이 갈래?,"Sure, I'll keep you company while it runs.","그래, 돌아가는 동안 옆에 있어 줄게.",3,"그래 돌아가는 동안 옆에 있어 줄게
그래 돌아가는 동안 있어 줄게 옆에
그래 옆에 있어 줄게 돌아가는 동안",수락 뒤 세탁기가 돌아가는 동안 곁에 있어 주겠다는 시간·장소를 유지한다.,
603,2,Why did you adopt a cat?,고양이는 왜 입양한 거야?,She keeps me company when I study late.,밤늦게 공부할 때 걔가 말동무가 돼 주거든.,5,"밤늦게 공부할 때 걔가 말동무가 돼 주거든
밤늦게 공부할 때 말동무가 걔가 돼 주거든
밤늦게 공부할 때 말동무가 돼 주거든 걔가
밤늦게 공부할 때 걔가 돼 주거든 말동무가
걔가 말동무가 돼 주거든 밤늦게 공부할 때",밤늦게 공부할 때 고양이가 말동무가 된다는 시간과 역할을 유지한다.,
604,1,Is your roommate okay with guests?,너희 룸메는 손님 와도 괜찮대?,"Yeah, as long as I don't have people over on weeknights.","응, 평일 밤에만 사람 안 부르면 돼.",3,"응 평일 밤에만 사람 안 부르면 돼
응 사람 평일 밤에만 안 부르면 돼
응 평일 밤에만 사람 돼 안 부르면",긍정 뒤 평일 밤에 사람을 부르지 않는다는 허용 조건을 유지한다.,
604,2,Why are you cleaning so hard?,왜 그렇게 열심히 청소해?,I'm having my study group over in an hour.,한 시간 뒤에 스터디 애들이 우리 집에 오거든.,9,"한 시간 뒤에 스터디 애들이 우리 집에 오거든
스터디 애들이 한 시간 뒤에 우리 집에 오거든
한 시간 뒤에 우리 집에 스터디 애들이 오거든
스터디 애들이 우리 집에 한 시간 뒤에 오거든
우리 집에 한 시간 뒤에 스터디 애들이 오거든
우리 집에 스터디 애들이 한 시간 뒤에 오거든
스터디 애들이 우리 집에 오거든 한 시간 뒤에
한 시간 뒤에 우리 집에 오거든 스터디 애들이
한 시간 뒤에 스터디 애들이 오거든 우리 집에",한 시간 뒤 스터디 사람들이 우리 집에 온다는 시간·주체·장소를 유지한다.,
605,1,Thanks for letting me crash here tonight.,오늘 밤 재워줘서 고마워.,Of course. Make yourself at home.,당연하지. 편하게 있어.,2,"당연하지 편하게 있어
당연하지 있어 편하게",당연하다는 수용 뒤 편히 있으라는 권유를 유지한다.,
605,2,Should I take my shoes off?,신발 벗어야 돼?,Whatever's comfortable. Make yourself at home.,편한 대로 해. 네 집이다 생각하고.,4,"편한 대로 해 네 집이다 생각하고
해 편한 대로 네 집이다 생각하고
네 집이다 생각하고 편한 대로 해
네 집이다 생각하고 해 편한 대로",편한 대로 하라는 요청과 자기 집처럼 생각하라는 방식을 유지한다.,
606,1,These cookies smell amazing. Whose are they?,이 쿠키 냄새 대박이다. 누구 거야?,"Mine, and help yourself. I made too many.","내 거, 마음껏 먹어. 너무 많이 구웠어.",5,"내 거 마음껏 먹어 너무 많이 구웠어
내 거 먹어 마음껏 너무 많이 구웠어
내 거 마음껏 먹어 구웠어 너무 많이
내 거 너무 많이 구웠어 마음껏 먹어
내 거 너무 많이 구웠어 먹어 마음껏",화자의 쿠키라는 답 뒤 많이 구웠다는 이유와 마음껏 먹으라는 권유를 유지한다.,
606,2,Do I need to ask before using your charger?,네 충전기 쓰기 전에 물어봐야 돼?,"Nah, just help yourself whenever.","아니, 언제든 그냥 알아서 써.",6,"아니 언제든 그냥 알아서 써
아니 그냥 언제든 알아서 써
아니 언제든 알아서 그냥 써
아니 그냥 알아서 언제든 써
아니 언제든 알아서 써 그냥
아니 언제든 그냥 써 알아서",부정 응답 뒤 언제든 자유롭게 쓰라는 시간 허용과 방식을 유지한다.,
607,1,Why did you buy another ugly mug?,왜 또 못생긴 머그컵을 산 거야?,I have a soft spot for weird pottery.,내가 이상한 도자기에 유독 약해.,9,"내가 이상한 도자기에 유독 약해
이상한 도자기에 내가 유독 약해
내가 유독 이상한 도자기에 약해
이상한 도자기에 유독 내가 약해
유독 내가 이상한 도자기에 약해
유독 이상한 도자기에 내가 약해
이상한 도자기에 유독 약해 내가
내가 유독 약해 이상한 도자기에
내가 이상한 도자기에 약해 유독",화자가 이상한 도자기를 특히 좋아한다는 대상과 정도를 유지한다.,
607,2,Grandma let you skip chores again?,할머니가 또 너만 집안일 빼줬어?,"Yeah, she's always had a soft spot for me.","응, 할머니가 옛날부터 날 유독 예뻐하셔.",8,"응 할머니가 옛날부터 날 유독 예뻐하셔
응 옛날부터 할머니가 날 유독 예뻐하셔
응 할머니가 날 옛날부터 유독 예뻐하셔
응 할머니가 옛날부터 유독 날 예뻐하셔
응 옛날부터 날 할머니가 유독 예뻐하셔
응 할머니가 날 유독 옛날부터 예뻐하셔
응 할머니가 옛날부터 날 예뻐하셔 유독
응 옛날부터 날 유독 예뻐하셔 할머니가",긍정 뒤 할머니가 오래전부터 화자를 특히 예뻐했다는 역할과 시간을 유지한다.,
608,1,What's the first thing you'd do with a free year?,1년이 통째로 생기면 제일 먼저 뭐 할 거야?,"Knock out my bucket list, starting with Iceland.","버킷리스트부터 해치워야지, 아이슬란드부터.",1,버킷리스트부터 해치워야지 아이슬란드부터,버킷리스트 전체 목표 뒤 아이슬란드 시작점을 덧붙이는 구조이므로 두 부터 성분을 앞에 겹치거나 연속 후치하는 어순은 제외한다.,
608,2,Was skydiving scary?,스카이다이빙 무서웠어?,"Terrifying, but I finally crossed it off my bucket list.","완전 무서웠는데, 드디어 버킷리스트에서 하나 지웠어.",6,"완전 무서웠는데 드디어 버킷리스트에서 하나 지웠어
완전 무서웠는데 버킷리스트에서 드디어 하나 지웠어
완전 무서웠는데 드디어 하나 버킷리스트에서 지웠어
완전 무서웠는데 버킷리스트에서 하나 드디어 지웠어
완전 무서웠는데 드디어 하나 지웠어 버킷리스트에서
완전 무서웠는데 드디어 버킷리스트에서 지웠어 하나",무서웠지만 드디어 목록에서 하나 지웠다는 대조와 수량을 유지한다.,
609,1,Why is there a whole folder of cat videos on your laptop?,네 노트북에 왜 고양이 영상 폴더가 통째로 있어?,Don't judge me. It's my guilty pleasure.,뭐라 하지 마. 내 길티 플레저라고.,2,"뭐라 하지 마 내 길티 플레저라고
내 길티 플레저라고 뭐라 하지 마",비난하지 말라는 요청과 자신만의 즐거움이라는 설명을 유지한다.,
609,2,What's your go-to food after a rough exam?,시험 망친 날엔 뭐 먹어?,Instant ramen at 2 a.m. Total guilty pleasure.,새벽 2시 라면. 완전 떳떳하지 못한 낙이지.,2,"새벽 2시 라면 완전 떳떳하지 못한 낙이지
새벽 2시 라면 떳떳하지 못한 낙이지 완전",새벽 두 시 라면이라는 답 뒤 떳떳하지 못한 즐거움이라는 평가를 유지한다.,
610,1,Why did you take a public speaking class?,발표 수업은 왜 들은 거야?,To push myself out of my comfort zone.,내 안전지대에서 좀 벗어나 보려고.,4,"내 안전지대에서 좀 벗어나 보려고
좀 내 안전지대에서 벗어나 보려고
좀 벗어나 보려고 내 안전지대에서
내 안전지대에서 벗어나 보려고 좀",자신의 안전지대에서 벗어나려는 목적과 좀의 정도를 유지한다.,
610,2,Was studying abroad worth it?,교환학생 갔다 온 거 그만한 가치 있었어?,Totally. It forced me way out of my comfort zone.,완전. 억지로라도 익숙한 영역을 확 벗어나게 되더라.,6,"완전 억지로라도 익숙한 영역을 확 벗어나게 되더라
완전 익숙한 영역을 억지로라도 확 벗어나게 되더라
완전 억지로라도 확 익숙한 영역을 벗어나게 되더라
완전 익숙한 영역을 확 억지로라도 벗어나게 되더라
완전 억지로라도 확 벗어나게 되더라 익숙한 영역을
완전 억지로라도 익숙한 영역을 벗어나게 되더라 확",강한 긍정 뒤 익숙한 영역을 크게 벗어나게 된 결과를 유지한다.,
611,1,What do you usually do on Sunday mornings?,일요일 아침엔 보통 뭐 해?,"That's my me time. Coffee, music, no phone.","그때가 내 혼자만의 시간이야. 커피, 음악, 폰은 끄고.",3,"그때가 내 혼자만의 시간이야 커피 음악 폰은 끄고
내 혼자만의 시간이야 그때가 커피 음악 폰은 끄고
그때가 내 혼자만의 시간이야 음악 커피 폰은 끄고",혼자만의 시간이라는 설명 뒤 커피와 음악의 병렬 항목을 교환해도 같은 활동이다.,
611,2,Isn't it hard sharing a room all the time?,계속 방 같이 쓰는 거 힘들지 않아?,Sometimes. Me time is rare with a roommate.,가끔. 룸메가 있으면 혼자만의 시간이 귀하지.,3,"가끔 룸메가 있으면 혼자만의 시간이 귀하지
가끔 룸메가 있으면 귀하지 혼자만의 시간이
가끔 혼자만의 시간이 귀하지 룸메가 있으면",가끔이라는 응답 뒤 룸메가 있으면 혼자만의 시간이 귀하다는 조건을 유지한다.,
612,1,Do you want advice or do you just want to talk?,"조언이 필요해, 아니면 그냥 얘기하고 싶은 거야?","Honestly, I just need to vent.",솔직히 그냥 좀 쏟아내고 싶어.,9,"솔직히 그냥 좀 쏟아내고 싶어
그냥 솔직히 좀 쏟아내고 싶어
솔직히 좀 그냥 쏟아내고 싶어
그냥 좀 솔직히 쏟아내고 싶어
좀 솔직히 그냥 쏟아내고 싶어
좀 그냥 솔직히 쏟아내고 싶어
그냥 좀 쏟아내고 싶어 솔직히
솔직히 좀 쏟아내고 싶어 그냥
솔직히 그냥 쏟아내고 싶어 좀",그저 감정을 쏟아내고 싶다는 희망과 솔직한 태도를 유지한다.,
612,2,Why was your roommate on the phone for an hour?,너희 룸메 왜 한 시간이나 통화한 거야?,She was venting to her mom about work.,엄마한테 일 얘기로 하소연하고 있었어.,4,"엄마한테 일 얘기로 하소연하고 있었어
일 얘기로 엄마한테 하소연하고 있었어
일 얘기로 하소연하고 있었어 엄마한테
엄마한테 하소연하고 있었어 일 얘기로",엄마에게 일에 관해 하소연하던 상대와 화제를 유지한다.,
613,1,Whose turn is it to pay?,이번엔 누가 낼 차례야?,Forget turns. Splitting the bill is easier.,차례고 뭐고 그냥 나눠 내는 게 편해.,4,"차례고 뭐고 그냥 나눠 내는 게 편해
차례고 뭐고 나눠 내는 게 그냥 편해
차례고 뭐고 나눠 내는 게 편해 그냥
차례고 뭐고 그냥 편해 나눠 내는 게",차례를 따지지 않고 나눠 내는 것이 편하다는 명제를 유지한다.,
613,2,Is it awkward to split the bill on a date?,데이트에서 나눠 내자고 하면 어색한가?,Not really. Lots of couples split it these days.,별로. 요즘은 나눠 내는 커플 많아.,4,"별로 요즘은 나눠 내는 커플 많아
별로 나눠 내는 커플 요즘은 많아
별로 나눠 내는 커플 많아 요즘은
별로 요즘은 많아 나눠 내는 커플",별로 어색하지 않다는 응답 뒤 요즘 나눠 내는 커플이 많다는 주체를 유지한다.,
614,1,Should we eat right next to the tourist spot?,관광지 바로 옆에서 밥 먹을까?,"No way, those places are all rip-offs.","절대 안 돼, 거기 식당들 다 바가지야.",5,"절대 안 돼 거기 식당들 다 바가지야
안 돼 절대 거기 식당들 다 바가지야
절대 안 돼 다 거기 식당들 바가지야
절대 안 돼 다 바가지야 거기 식당들
절대 안 돼 거기 식당들 바가지야 다",강한 거절 뒤 해당 식당들이 모두 바가지라는 주체 범위를 유지한다.,
614,2,Why did you return the concert merch?,콘서트 굿즈 왜 환불했어?,Thirty dollars for a keychain? Total rip-off.,키링 하나에 30달러? 완전 바가지지.,2,"키링 하나에 30달러 완전 바가지지
키링 하나에 30달러 바가지지 완전",키링 하나에 삼십 달러인지 반문한 뒤 바가지라는 평가를 유지한다.,
615,1,Isn't that laptop out of your budget?,그 노트북 네 예산 초과 아니야?,"It was refurbished, so it was a steal.",리퍼 제품이라 거저나 다름없었어.,2,"리퍼 제품이라 거저나 다름없었어
거저나 다름없었어 리퍼 제품이라",리퍼 제품이라 거의 공짜 같았다는 이유와 평가를 유지한다.,
615,2,Where did you get all this furniture?,이 가구들 다 어디서 났어?,A senior was moving out. Everything was a steal.,졸업하는 선배가 이사 가면서 준 거야. 전부 헐값이었어.,2,"졸업하는 선배가 이사 가면서 준 거야 전부 헐값이었어
졸업하는 선배가 이사 가면서 준 거야 헐값이었어 전부",졸업 선배에게 받았다는 설명 뒤 모든 가구가 헐값이었다는 범위를 유지한다.,
